vehicle,vclass,x_metres,y_metres,width_metres,height_metres,bb_x_metres,bb_y_metres,bb_x_homographed,bb_y_homographed,bb_x_homographed_normalised,bb_y_homographed_normalised,width_normalised,height_normalised,bb_x_normalised,bb_y_normalised,lon,lat,angle,color
0#0.0,0,481.7873862843478,300.26016085434236,1.8,1.5,482.6873862843478,301.01016085434236,341.6555932939073,501.9698135328259,0.026554919422812632,0.08660624802153656,0.00013990362194932378,0.00025879917184265007,0.03751650756135145,0.051934120230217796,92.87963209982645,56.03630103516049,177.27083076249872,"(255, 255, 0, 255)"
0#0.1,0,477.65173121583086,387.0267794439552,1.8,1.5,478.55173121583084,387.7767794439552,297.4759067157573,1046.6544638670632,0.02312108710677423,0.18058220563613925,0.00013990362194932378,0.00025879917184265007,0.03719506693734112,0.06690420625327038,92.87956329930822,56.03708055726711,177.2703853772203,"(255, 255, 0, 255)"
0#0.2,0,489.2607182154227,521.405219098421,1.8,1.5,490.16071821542266,522.155219098421,670.5418309814158,-4234.759834633538,0.05211735045712854,-0.730634892103785,0.00013990362194932378,0.00025879917184265007,0.038097366564233064,0.09008889218399256,92.8797458604942,56.03828811172234,264.6243602029031,"(255, 255, 0, 255)"
0#0.3,0,499.1961803507378,522.3401349931316,1.8,1.5,500.09618035073777,523.0901349931316,717.1644199315451,-5471.73877900684,0.05574105548978277,-0.9440543096975222,0.00013990362194932378,0.00025879917184265007,0.038869592752272475,0.09025019582352169,92.87990529606226,56.038296667114665,265.50709946940964,"(255, 255, 0, 255)"
0#0.4,0,509.72802280390357,523.0548992005331,1.8,1.5,510.62802280390355,523.8048992005331,812.1391825829159,-7931.630108704849,0.0631228962057295,-1.3684662023300291,0.00013990362194932378,0.00025879917184265007,0.03968817214393778,0.09037351608014718,92.88007430959283,56.038303253569794,267.2053077138372,"(255, 255, 0, 255)"
0#0.5,0,520.377028270819,523.5747336095661,1.8,1.5,521.277028270819,524.3247336095661,1065.7915375754274,-14427.569110909744,0.08283783130541172,-2.4892286250706945,0.00013990362194932378,0.00025879917184265007,0.04051585794114868,0.09046320455651588,92.8802452090427,56.03830809019969,267.2053077138372,"(255, 255, 0, 255)"
0#0.6,0,531.0853138582877,527.2951309736628,1.8,1.5,531.9853138582877,528.0451309736628,1427.0615655811016,-25623.034002277676,0.11091726764970476,-4.420813319923685,0.00013990362194932378,0.00025879917184265007,0.041348151240345694,0.09110509506101842,92.88041697104458,56.03834168415323,267.20451095203674,"(255, 255, 0, 255)"
0#0.7,0,534.5628925555401,530.6727511784687,1.8,1.5,535.4628925555401,531.4227511784687,1222.5146773922531,-21711.958670282682,0.09501901736299186,-3.7460246153006698,0.00013990362194932378,0.00025879917184265007,0.04161844338221203,0.09168784526888694,92.88047269158334,56.038372085703635,267.2045109520367,"(255, 255, 0, 255)"
1#0.0,0,481.10247857985405,473.83182539695224,1.8,1.5,482.002478579854,474.58182539695224,-238.42451150560376,8247.192717975224,-0.018531362622851218,1.4229110969591483,0.00013990362194932378,0.00025879917184265007,0.03746327363437385,0.08188092225620293,92.87961625341077,56.03786054334478,358.5187707492494,"(255, 255, 0, 255)"
1#0.1,0,481.30811865594444,465.87918507338543,1.8,1.5,482.2081186559444,466.62918507338543,-5.154133443647782,5141.927510576812,-0.00040060107598692535,0.8871510542748122,0.00013990362194932378,0.00025879917184265007,0.037479256851853285,0.08050883110306857,92.87961977626622,56.03778909313076,358.5187707492494,"(255, 255, 0, 255)"
1#0.10,0,497.50939963576394,104.84049241825352,1.8,1.5,498.4093996357639,105.59049241825352,368.00509515628784,194.490467453432,0.02860291428231679,0.03355598127215873,0.00013990362194932378,0.00025879917184265007,0.03873848901257297,0.01821782132820109,92.87988987409219,56.03454546015242,357.27043818172797,"(255, 255, 0, 255)"
1#0.11,0,498.748773250961,78.84469053957248,1.8,1.5,499.64877325096097,79.59469053957248,369.40789248693375,176.08743678269755,0.028711945630882457,0.030380855207504755,0.00013990362194932378,0.00025879917184265007,0.03883481837796992,0.013732693329808917,92.87991048900841,56.03431191049776,357.27043818172734,"(255, 255, 0, 255)"
