vehicle,vclass,x_metres,y_metres,width_metres,height_metres,bb_x_metres,bb_y_metres,bb_x_homographed,bb_y_homographed,bb_x_homographed_normalised,bb_y_homographed_normalised,width_normalised,height_normalised,bb_x_normalised,bb_y_normalised,lon,lat,angle,color
0#0.0,0,479.74367877935225,343.13629937267393,1.8,1.5,480.64367877935223,343.88629937267393,326.72661202195553,686.0265566179451,0.02539457578283503,0.11836206980985939,0.00013990362194932378,0.00025879917184265007,0.037357661960154845,0.059331659657121096,92.87959810120775,56.03668623974489,177.27175201835047,"(255, 255, 0, 255)"
0#0.1,0,475.58040270481865,439.7202001594831,1.8,1.5,476.48040270481863,440.4702001594831,184.1348544623242,2454.7290758075746,0.014311740592439311,0.4235212346113828,0.00013990362194932378,0.00025879917184265007,0.03703407451459805,0.07599554868176037,92.87952858123168,56.037553968351695,178.51877074924943,"(255, 255, 0, 255)"
0#0.2,0,495.94943464616125,522.0346198470869,1.8,1.5,496.8494346461612,522.7846198470869,699.3985193615154,-5000.3783198855535,0.05436021446926126,-0.8627291787242155,0.00013990362194932378,0.00025879917184265007,0.03861724192803989,0.09019748444566716,92.87985319513166,56.038293871375735,264.74170265892604,"(255, 255, 0, 255)"
0#0.3,0,507.60055053456415,522.9510460009735,1.8,1.5,508.5005505345641,523.7010460009735,786.0460495283342,-7263.395032771989,0.061094827415539725,-1.2531737461649393,0.00013990362194932378,0.00025879917184265007,0.03952281599056149,0.0903555979987877,92.88004016708192,56.03830228727316,267.2053077138372,"(255, 255, 0, 255)"
0#0.4,0,519.5854289168753,523.536091448697,1.8,1.5,520.4854289168753,524.286091448697,1033.98709710693,-13613.06965440474,0.08036585551895926,-2.3487007685308385,0.00013990362194932378,0.00025879917184265007,0.04045433148739898,0.09045653751702847,92.88023250514182,56.03830773067444,267.2053077138372,"(255, 255, 0, 255)"
0#0.5,0,530.0080183557261,527.2425274525497,1.8,1.5,530.9080183557261,527.9925274525497,1313.2344159251306,-22472.10291194312,0.10207013958690583,-3.877174415449123,0.00013990362194932378,0.00025879917184265007,0.04126441927216898,0.09109601922921837,92.88039968216168,56.038341194760505,267.2045109520354,"(255, 255, 0, 255)"
0#0.6,0,533.4681118497068,530.619293868161,1.8,1.5,534.3681118497068,531.369293868161,1145.1528000196304,-19385.7351749447,0.08900612467119776,-3.34467480589108,0.00013990362194932378,0.00025879917184265007,0.04153335238999742,0.09167862213046256,92.88045512207613,56.03837158837568,267.2045109520354,"(255, 255, 0, 255)"
1#0.0,0,481.10247857985405,473.83182539695224,1.8,1.5,482.002478579854,474.58182539695224,-238.42451150560376,8247.192717975224,-0.018531362622851218,1.4229110969591483,0.00013990362194932378,0.00025879917184265007,0.03746327363437385,0.08188092225620293,92.87961625341077,56.03786054334478,358.5187707492494,"(255, 255, 0, 255)"
1#0.1,0,481.30811865594444,465.87918507338543,1.8,1.5,482.2081186559444,466.62918507338543,-5.154133443647782,5141.927510576812,-0.00040060107598692535,0.8871510542748122,0.00013990362194932378,0.00025879917184265007,0.037479256851853285,0.08050883110306857,92.87961977626622,56.03778909313076,358.5187707492494,"(255, 255, 0, 255)"
1#0.10,0,498.8057805663997,77.64896484426356,1.8,1.5,499.70578056639965,78.39896484426356,369.468122950962,175.29728481091223,0.028716626997587594,0.0302445280902195,0.00013990362194932378,0.00025879917184265007,0.03883924922791852,0.013526391450010966,92.87991143722412,56.03430116794278,357.27043818172734,"(255, 255, 0, 255)"
1#0.11,0,499.34713276027185,66.29412865449025,1.8,1.5,500.2471327602718,67.04412865449025,370.02298997908053,168.01809008080647,0.02875975361255095,0.028988628378331,0.00013990362194932378,0.00025879917184265007,0.038881325412736804,0.011567309981796108,92.8799204416326,56.03419915461806,357.27043818172797,"(255, 255, 0, 255)"
1#0.2,0,481.5020219955294,458.38043508955724,1.8,1.5,482.40202199552937,459.13043508955724,97.10459600404147,3780.6724839212866,0.007547380382717353,0.6522899385647493,0.00013990362194932378,0.00025879917184265007,0.03749432784047329,0.07921505091262201,92.87962309804556,56.037721720877514,358.51877074925005,"(255, 255, 0, 255)"
1#0.3,0,482.0376426857916,437.6665801810244,1.8,1.5,482.93764268579156,438.4165801810244,218.87185590345905,2159.722414275167,0.017011647435369114,0.3726229148162814,0.00013990362194932378,0.00025879917184265007,0.03753595854856144,0.07564123191529061,92.87963227376119,56.03753561797842,358.5187707492494,"(255, 255, 0, 255)"
1#0.4,0,486.33806224178375,339.1479968168858,1.8,1.5,487.2380622417837,339.8979968168858,332.98894667955875,653.8568640579927,0.025881310949755848,0.11281174328122716,0.00013990362194932378,0.00025879917184265007,0.03787020536621978,0.0586435467247905,92.87970404647243,56.03665050858188,357.2713084269234,"(255, 255, 0, 255)"
1#0.5,0,490.2797500713283,256.43524850210645,1.8,1.5,491.1797500713283,257.18524850210645,353.50268421716913,384.7343136151512,0.027475725494883346,0.06637928116203437,0.00013990362194932378,0.00025879917184265007,0.03817657003507914,0.04437288621499421,92.87976961721628,56.03590740681367,357.27368900609383,"(255, 255, 0, 255)"
1#0.6,0,491.35365120935694,233.93260360016365,1.8,1.5,492.2536512093569,234.68260360016365,356.75701816559064,342.0468464380084,0.02772866610955935,0.05901429372636445,0.00013990362194932378,0.00025879917184265007,0.038260038178871206,0.04049044230506619,92.87978748043119,56.03570524021449,357.2656163654882,"(255, 255, 0, 255)"
1#0.7,0,492.9105941266048,201.3334752641931,1.8,1.5,493.81059412660477,202.0834752641931,360.5600962829648,292.16601730160136,0.02802425744465761,0.05040821554547987,0.00013990362194932378,0.00025879917184265007,0.03838105037514416,0.03486602402763856,92.87981337749892,56.03541236553731,357.2656163654882,"(255, 255, 0, 255)"
1#0.8,0,495.5825508569413,145.2560527386065,1.8,1.5,496.48255085694126,146.0060527386065,365.3994341545427,228.67363724216676,0.028400391275807763,0.039453698627012895,0.00013990362194932378,0.00025879917184265007,0.03858872616640302,0.025190830355177104,92.8798578236731,56.03490855876183,357.27043818172734,"(255, 255, 0, 255)"
1#0.9,0,497.4412923837707,106.26903874811546,1.8,1.5,498.3412923837707,107.01903874811546,367.9224437982876,195.57475485762623,0.028596490268792754,0.03374305639365532,0.00013990362194932378,0.00025879917184265007,0.0387331954285536,0.01846429239960584,92.8798887412342,56.0345582943975,357.27043818172797,"(255, 255, 0, 255)"
2#0.0,0,495.0177587500893,90.04244363492884,1.8,1.5,495.91775875008926,90.79244363492884,368.20861233087726,183.0304210512063,0.02861873249890232,0.031578747593375825,0.00013990362194932378,0.00025879917184265007,0.03854482813229358,0.01566467281486005,92.87985030078607,56.03441246261525,357.27043818172825,"(255, 255, 0, 255)"
2#0.1,0,496.1035213440187,67.26862552796214,1.8,1.5,497.0035213440187,68.01862552796214,369.39863974937344,167.89892134916647,0.02871122646893933,0.028968067865625686,0.00013990362194932378,0.00025879917184265007,0.03862921819866459,0.011735442637674627,92.8798683607986,56.03420785968265,357.2704381817276,"(255, 255, 0, 255)"
2#0.2,0,491.9210231252212,87.72401403076493,1.8,1.5,492.8210231252212,88.47401403076493,367.7140348184932,180.7078693190071,0.028580291840392756,0.031178031283472584,0.00013990362194932378,0.00025879917184265007,0.03830413672666106,0.015264667707171314,92.8798006686795,56.03439158341527,177.2701877974194,"(255, 255, 0, 255)"
2#0.3,0,491.39823884952136,98.68838173980724,1.8,1.5,492.29823884952134,99.43838173980724,367.076746388261,188.56466991916528,0.028530759085050594,0.0325335869425751,0.00013990362194932378,0.00025879917184265007,0.03826350371906741,0.017156380562423607,92.87979197279446,56.034490088708004,177.27018779741934,"(255, 255, 0, 255)"
2#0.4,0,490.01875524152484,127.62032600385729,1.8,1.5,490.9187552415248,128.3703260038573,365.2057723330066,211.6309447530753,0.02838533905899321,0.03651327549224902,0.00013990362194932378,0.00025879917184265007,0.03815628441174606,0.022148089372646184,92.87976902653637,56.034750017013785,177.27018779741934,"(255, 255, 0, 255)"
2#0.5,0,487.8815248744414,172.42033109072335,1.8,1.5,488.7815248744414,173.17033109072335,361.61822430269075,255.85612193671417,0.028106499634905233,0.04414356831206249,0.00013990362194932378,0.00025879917184265007,0.03799016981769325,0.02987755884933115,92.87973347602002,56.03515250596899,177.2455061360042,"(255, 255, 0, 255)"
2#0.6,0,485.56771952051275,220.87872469532704,1.8,1.5,486.46771952051273,221.62872469532704,356.3508474958463,320.7811239165308,0.02769709680521112,0.05534525947490179,0.00013990362194932378,0.00025879917184265007,0.037810331067970826,0.038238220271795555,92.87969498872856,56.03558786227918,177.27453876404334,"(255, 255, 0, 255)"
2#0.7,0,480.7873147099918,253.92784097342744,1.8,1.5,481.68731470999177,254.67784097342744,350.22938370115634,381.56853967751397,0.0272213107182618,0.06583308137983333,0.00013990362194932378,0.00025879917184265007,0.03743877776387314,0.0439402762203981,92.87961734553303,56.035884729547554,177.27471741561186,"(255, 255, 0, 255)"
3#0.0,0,514.0427855614674,520.057820197319,1.8,1.5,514.9427855614674,520.807820197319,1046.7232488674865,-12921.06922033581,0.08135576316395822,-2.229308009029643,0.00013990362194932378,0.00025879917184265007,0.04002353377595736,0.0898564217041613,92.88014364393099,56.03827639249092,87.20451095203669,"(255, 255, 0, 255)"
3#0.1,0,496.4814952338349,518.8741478139276,1.8,1.5,497.38149523383487,519.6241478139276,751.0336994589261,-5843.053356897589,0.058373519311279806,-1.008118246531675,0.00013990362194932378,0.00025879917184265007,0.0386585959298799,0.0896521994157915,92.87986182278712,56.038265483263636,84.59378782770543,"(255, 255, 0, 255)"
3#0.10,0,582.9640138534594,529.6766459473381,1.8,1.5,583.8640138534594,530.4266459473381,323.46922940457364,4908.950287859906,0.02514139821269809,0.8469548460765883,0.00013990362194932378,0.00025879917184265007,0.045380383479982855,0.09151598446296379,92.8812495465432,56.038363885841946,267.4340442613955,"(255, 255, 0, 255)"
3#0.2,0,486.729800841181,520.3184352493566,1.8,1.5,487.62980084118095,521.0684352493566,669.7214986341205,-4113.2733700097415,0.0520535907534681,-0.7096744944806316,0.00013990362194932378,0.00025879917184265007,0.037900652948949246,0.08990138634391937,92.87970527028497,56.038278307519896,254.6058513671792,"(255, 255, 0, 255)"
3#0.3,0,533.4908030961768,524.214886477147,1.8,1.5,534.3908030961768,524.964886477147,17939.506680371822,-446556.9073597947,1.3943344225378376,-77.04570520355325,0.00013990362194932378,0.00025879917184265007,0.041535116049757244,0.09057365191117099,92.8804556641449,56.03831404596833,267.2053077138372,"(255, 255, 0, 255)"
3#0.4,0,543.9915228612219,524.7217955347425,1.8,1.5,544.8915228612219,525.4717955347425,-288.32384571466594,20248.124352337858,-0.022409750172133213,3.493465209168022,0.00013990362194932378,0.00025879917184265007,0.04235127645431539,0.0906611103407078,92.88062418409943,56.03831876363517,267.32978895264705,"(255, 255, 0, 255)"
3#0.5,0,554.1348695311528,525.1875076308376,1.8,1.5,555.0348695311528,525.9375076308376,102.60783759916859,10230.971412627965,0.007975115622506497,1.765177952489297,0.00013990362194932378,0.00025879917184265007,0.04313966030865481,0.09074146094389882,92.88078696948322,56.03832310538153,267.4486874355976,"(255, 255, 0, 255)"
3#0.6,0,562.0452896788228,525.5399821777503,1.8,1.5,562.9452896788227,526.2899821777503,211.49994647174944,7438.948896252513,0.01643867141860325,1.2834625424866308,0.00013990362194932378,0.00025879917184265007,0.04375449165854366,0.0908022743577899,92.88091392009318,56.038326394908204,267.4486874355963,"(255, 255, 0, 255)"
3#0.7,0,570.0645373129161,525.8973058879507,1.8,1.5,570.964537312916,526.6473058879507,273.1077409834535,5859.30872542817,0.021227090081101622,1.0109228304741493,0.00013990362194932378,0.00025879917184265007,0.04437778154149821,0.09086392441130964,92.88104261724648,56.0383297295572,267.4486874355976,"(255, 255, 0, 255)"
3#0.8,0,578.716519371375,526.2828231422841,1.8,1.5,579.616519371375,527.0328231422841,314.78610462097924,4790.664441407343,0.024466508986552095,0.826546660008168,0.00013990362194932378,0.00025879917184265007,0.04505025022317542,0.09093043877541132,92.88118146888364,56.03833332716603,267.4486874355976,"(255, 255, 0, 255)"
3#0.9,0,565.3390569529881,528.8867951259342,1.8,1.5,566.2390569529881,529.6367951259342,213.3729390065569,7958.522757280269,0.01658424832943859,1.373106065783345,0.00013990362194932378,0.00025879917184265007,0.044010497198273595,0.0913797093039914,92.8809666917207,56.03835651658954,267.4340442613955,"(255, 255, 0, 255)"
4#0.0,0,595.6256677894177,527.0372822653414,1.8,1.5,596.5256677894176,527.7872822653414,362.44503297873024,3568.7542007964144,0.02817076270625915,0.6157270877840605,0.00013990362194932378,0.00025879917184265007,0.04636450083859922,0.09106060770623557,92.88145283599155,56.038340366899924,267.4419554645757,"(255, 255, 0, 255)"
4#0.1,0,707.8443451921282,532.0534221039178,1.8,1.5,708.7443451921282,532.8034221039178,443.7890876068486,1483.4488650959217,0.0344931670765466,0.2559435585051625,0.00013990362194932378,0.00025879917184265007,0.05508661162693364,0.0919260562636159,92.88325378395669,56.0383871533977,267.44284571267985,"(255, 255, 0, 255)"
4#0.2,0,759.4824701123873,534.359602390765,1.8,1.5,760.3824701123873,535.109602390765,454.0176239671349,1221.1918554831236,0.03528817223434905,0.21069562724001442,0.00013990362194932378,0.00025879917184265007,0.05910014535305357,0.09232394796251983,92.88408250293551,56.0384086554478,267.44284571267985,"(255, 255, 0, 255)"
4#0.3,0,774.3814733165922,532.5624588957787,1.8,1.5,775.2814733165922,533.3124588957787,455.0790690186992,1146.724776358634,0.03537067223835685,0.19784761496870842,0.00013990362194932378,0.00025879917184265007,0.06025815897066626,0.09201388179706325,92.88432167725249,56.0383927327448,78.59571714368978,"(255, 255, 0, 255)"
4#0.4,0,711.0003311355314,528.9879925750017,1.8,1.5,711.9003311355314,529.7379925750017,443.0239980849468,1420.4910742219117,0.03443370107919686,0.24508127574567143,0.00013990362194932378,0.00025879917184265007,0.05533190821821322,0.09139716918133226,92.88330451998068,56.03835965882482,87.44314115003522,"(255, 255, 0, 255)"
